TIME_PERIOD,OBS_VALUE
2010,99.9
2011,100.4
2012,100.2
2013,100.1
2014,100.3
2015,101.4
2016,101.7
2017,102.1
2018,101.9
2019,102.0
2020,100.0
2021,101.8
2022,102.3 
