TIME_PERIOD,OBS_VALUE
2010,30.5
2011,30.9
2012,30.9
2013,30.7
2014,30.8
2015,31.0
2016,30.8
2017,30.3
2018,29.9
2019,30.2
2020,30.0
2021,29.8 
