TIME_PERIOD,OBS_VALUE
2010-01-01,96.5
2011-01-01,96.8
2012-01-01,97.2
2013-01-01,97.1
2014-01-01,97.5
2015-01-01,98.0
2016-01-01,98.8
2017-01-01,99.5
2018-01-01,100.1
2019-01-01,100.5
2020-01-01,100.0
2021-01-01,100.3
2022-01-01,99.8 
